Collateral Type,Sub-type,Section,Field,Field Type,Required,Options / Values,Condition / Visibility Rule
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลทะเบียน,วันที่จดทะเบียน,Date,Y,Format: วว/ดด/ปปปป,Always visible
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลทะเบียน,วันที่ครอบครอง,Date,Y,"min = วันที่จดทะเบียน, max = วันนี้","Disabled until วันที่จดทะเบียน is selected. Cannot pick a date before วันที่จดทะเบียน or a future date."
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลทะเบียน,ประเภทการครอบครอง,Dropdown,Y,"ปกติ, โอนกรรมสิทธิ์ในครอบครัว, เพิ่งผ่อนชำระเช่าซื้อเสร็จสิ้น","Always visible. When ""โอนกรรมสิทธิ์ในครอบครัว"" → show ผู้ถือครองก่อนหน้า"
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลทะเบียน,ผู้ถือครองก่อนหน้า,Dropdown,N,"บิดา/มารดา, คู่สมรส, บุตร","Conditional — shown when ประเภทการครอบครอง = โอนกรรมสิทธิ์ในครอบครัว"
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลทะเบียน,วันที่ครอบครอง (ผู้ถือครองก่อนหน้า),Date,Y,"min = วันที่จดทะเบียน, max = วันที่ครอบครอง","Conditional — shown when ประเภทการครอบครอง = โอนกรรมสิทธิ์ในครอบครัว. Must be between วันที่จดทะเบียน and วันที่ครอบครอง."
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลรถ,เลขทะเบียน,Text,Y,,Always visible
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลรถ,จังหวัด,Dropdown,Y,Province list,Always visible
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลรถ,ประเภทรถตาม พ.ร.บ.(ร.ย.),Dropdown,Y,"ร.ย.1, ร.ย.2, ร.ย.3, ร.ย.12",Always visible
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลรถ,ยี่ห้อรถ,Dropdown,Y,"Toyota, Honda, Isuzu, Mitsubishi, Nissan, Mazda, Ford, MG, BYD","Hidden when ""ไม่มีตัวเลือกรถนี้ในระบบ"" is checked"
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลรถ,แบบรุ่น,Dropdown,Y,Dynamic based on brand,"Hidden when ""ไม่มีตัวเลือกรถนี้ในระบบ"" is checked"
รถยนต์ (Car),รถเก๋ง / รถกระบะ / รถตู้,ข้อมูลรถ — Dropdown Mode,รุ่นปี (ค.ศ.),Dropdown,Y,2018–2024,"Hidden when ""ไม่มีตัวเลือกรถนี้ในระบบ"" is checked"
